[2025-11-22 02:23:19] Experimento #81: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.01, 'patience': 40, 'epochs': 256, 'factor_balance': 1.45, 'f1_score_best': 0.8122929701877071}
[2025-11-22 02:25:18] Experimento #82: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.01, 'patience': 40, 'epochs': 256, 'factor_balance': 1.65, 'f1_score_best': 0.8178693132440646}
[2025-11-22 02:26:47] Experimento #83: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.01, 'patience': 40, 'epochs': 256, 'factor_balance': 1.75, 'f1_score_best': 0.812212745600152}
[2025-11-22 02:28:16] Experimento #84: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.01, 'patience': 40, 'epochs': 256, 'factor_balance': 1.85, 'f1_score_best': 0.8117708333333333}
[2025-11-22 02:31:29] Experimento #85: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.01, 'patience': 40, 'epochs': 256, 'factor_balance': 1.7, 'f1_score_best': 0.814348253057612}
[2025-11-22 02:33:24] Experimento #86: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.01, 'patience': 40, 'epochs': 256, 'factor_balance': 1.35, 'f1_score_best': 0.814864967668315}
[2025-11-22 02:35:38] Experimento #87: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.01, 'patience': 40, 'epochs': 256, 'factor_balance': 2, 'f1_score_best': 0.8127772599533257}
[2025-11-22 02:36:57] Experimento #88: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.01, 'patience': 40, 'epochs': 256, 'factor_balance': 0.75, 'f1_score_best': 0.8162306478736499}
[2025-11-22 02:37:59] Experimento #89: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.0025, 'patience': 40, 'epochs': 256, 'factor_balance': 1.45, 'f1_score_best': 0.805957825203252}
[2025-11-22 02:40:41] Experimento #90: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.0025, 'patience': 40, 'epochs': 256, 'factor_balance': 1.65, 'f1_score_best': 0.8084458445254603}
[2025-11-22 02:43:09] Experimento #91: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.0025, 'patience': 40, 'epochs': 256, 'factor_balance': 1.75, 'f1_score_best': 0.8042250004482029}
[2025-11-22 02:44:27] Experimento #92: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.0025, 'patience': 40, 'epochs': 256, 'factor_balance': 1.85, 'f1_score_best': 0.805858332780464}
[2025-11-22 02:45:44] Experimento #93: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.0025, 'patience': 40, 'epochs': 256, 'factor_balance': 1.7, 'f1_score_best': 0.8137272396814381}
[2025-11-22 02:46:44] Experimento #94: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.0025, 'patience': 40, 'epochs': 256, 'factor_balance': 1.35, 'f1_score_best': 0.8123547753525894}
[2025-11-22 02:48:23] Experimento #95: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.0025, 'patience': 40, 'epochs': 256, 'factor_balance': 2, 'f1_score_best': 0.8054866234996015}
[2025-11-22 02:49:27] Experimento #96: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.0025, 'patience': 40, 'epochs': 256, 'factor_balance': 0.75, 'f1_score_best': 0.8170041742538949}
[2025-11-22 02:50:52] Experimento #97: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.00035, 'patience': 40, 'epochs': 256, 'factor_balance': 1.45, 'f1_score_best': 0.8024843629147423}
[2025-11-22 02:52:16] Experimento #98: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.00035, 'patience': 40, 'epochs': 256, 'factor_balance': 1.65, 'f1_score_best': 0.7933152664859981}
[2025-11-22 02:53:34] Experimento #99: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.00035, 'patience': 40, 'epochs': 256, 'factor_balance': 1.75, 'f1_score_best': 0.78138385975339}
[2025-11-22 02:54:54] Experimento #100: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.00035, 'patience': 40, 'epochs': 256, 'factor_balance': 1.85, 'f1_score_best': 0.7809048083170891}
[2025-11-22 02:56:26] Experimento #101: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.00035, 'patience': 40, 'epochs': 256, 'factor_balance': 1.7, 'f1_score_best': 0.8018694534102606}
[2025-11-22 02:58:30] Experimento #102: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.00035, 'patience': 40, 'epochs': 256, 'factor_balance': 1.35, 'f1_score_best': 0.8010614911886516}
[2025-11-22 03:00:08] Experimento #103: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.00035, 'patience': 40, 'epochs': 256, 'factor_balance': 2, 'f1_score_best': 0.7906929347826087}
[2025-11-22 03:01:07] Experimento #104: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.00035, 'patience': 40, 'epochs': 256, 'factor_balance': 0.75, 'f1_score_best': 0.7999148425284789}
[2025-11-22 03:03:24] Experimento #105: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.1, 'patience': 40, 'epochs': 256, 'factor_balance': 1.45, 'f1_score_best': 0.8161428571428571}
[2025-11-22 03:04:51] Experimento #106: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.1, 'patience': 40, 'epochs': 256, 'factor_balance': 1.65, 'f1_score_best': 0.8127341993922921}
[2025-11-22 03:06:28] Experimento #107: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.1, 'patience': 40, 'epochs': 256, 'factor_balance': 1.75, 'f1_score_best': 0.8138993436137034}
[2025-11-22 03:09:01] Experimento #108: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.1, 'patience': 40, 'epochs': 256, 'factor_balance': 1.85, 'f1_score_best': 0.8078681552365763}
[2025-11-22 03:10:59] Experimento #109: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.1, 'patience': 40, 'epochs': 256, 'factor_balance': 1.7, 'f1_score_best': 0.8179618785307967}
[2025-11-22 03:13:19] Experimento #110: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.1, 'patience': 40, 'epochs': 256, 'factor_balance': 1.35, 'f1_score_best': 0.8196291190465602}
[2025-11-22 03:15:18] Experimento #111: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.1, 'patience': 40, 'epochs': 256, 'factor_balance': 2, 'f1_score_best': 0.8101727914334388}
[2025-11-22 03:17:04] Experimento #112: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.1, 'patience': 40, 'epochs': 256, 'factor_balance': 0.75, 'f1_score_best': 0.8166836929258257}
[2025-11-22 03:19:13] Experimento #113: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.25, 'patience': 40, 'epochs': 256, 'factor_balance': 1.45, 'f1_score_best': 0.818616669101784}
[2025-11-22 03:21:27] Experimento #114: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.25, 'patience': 40, 'epochs': 256, 'factor_balance': 1.65, 'f1_score_best': 0.810759160968989}
[2025-11-22 03:23:34] Experimento #115: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.25, 'patience': 40, 'epochs': 256, 'factor_balance': 1.75, 'f1_score_best': 0.8147793726741095}
[2025-11-22 03:26:24] Experimento #116: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.25, 'patience': 40, 'epochs': 256, 'factor_balance': 1.85, 'f1_score_best': 0.815323942865624}
[2025-11-22 03:29:24] Experimento #117: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.25, 'patience': 40, 'epochs': 256, 'factor_balance': 1.7, 'f1_score_best': 0.807464102312498}
[2025-11-22 03:30:45] Experimento #118: Config={'capas': [1024, 1024, 1024], 'batch_size': 32, 'learning_rate': 0.25, 'patience': 40, 'epochs': 256, 'factor_balance': 1.35, 'f1_score_best': 0.8164335664335665}
