Nombre,Neuronas_ocultas,Init_func,Pesado_terminos,Terminos,Prepocesamiento,Learnin_rate,Batch_size,Precision_score,Recall_score,F1_score,Accuracy
hateval_es,256,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 1)",mi_tokenizador_con_stemming,0.5,32,0.278,0.5,0.35732647814910024,0.556
hateval_es,256,normal_initialization,vectorizar_countvectorizer,"(1, 2)",mi_tokenizador_con_stemming,0.5,16,0.7228685605633349,0.7241072007259057,0.7233429860379081,0.726
hateval_es,1024,xavier_initialization,vectorizar_countvectorizer,"(2, 2)",mi_tokenizador_con_stemming,0.01,32,0.7056928034371643,0.698587076284918,0.6831432192648923,0.684
hateval_es,64,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 1)",None,0.5,16,0.278,0.5,0.35732647814910024,0.556
hateval_es,1024,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 2)",None,0.1,64,0.222,0.5,0.3074792243767313,0.444
hateval_es,128,xavier_initialization,vectorizar_tfidfvectorizer,"(2, 2)",mi_tokenizador_sin_stopwords,0.5,16,0.278,0.5,0.35732647814910024,0.556
hateval_es,512,xavier_initialization,vectorizar_tfidfvectorizer,"(2, 2)",None,0.01,64,0.278,0.5,0.35732647814910024,0.556
hateval_es,1024,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 2)",None,0.01,16,0.7439052175894281,0.56938233197226,0.501039501039501,0.616
hateval_es,512,normal_initialization,vectorizar_countvectorizer,"(2, 2)",mi_tokenizador_con_stemming,0.01,32,0.62875,0.5834467561086266,0.5602704336832848,0.616
hateval_es,64,xavier_initialization,vectorizar_countvectorizer,"(1, 2)",mi_tokenizador_con_stemming,0.01,64,0.7652908189880021,0.7636917493032601,0.7643770617007102,0.768
hateval_es,128,xavier_initialization,vectorizar_countvectorizer,"(1, 2)",mi_tokenizador_con_stemming,0.1,16,0.7754066860985817,0.774045628362175,0.7746458285115662,0.778
hateval_es,128,normal_initialization,vectorizar_countvectorizer,"(1, 2)",None,0.01,32,0.6363798098917298,0.6304199883336574,0.630822790814706,0.642
hateval_es,64,normal_initialization,vectorizar_tfidfvectorizer,"(1, 1)",mi_tokenizador_con_stemming,0.1,32,0.6929683479155944,0.69440663685268,0.693404979748592,0.696
hateval_es,512,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 1)",None,0.1,32,0.278,0.5,0.35732647814910024,0.556
hateval_es,64,xavier_initialization,vectorizar_tfidfvectorizer,"(2, 2)",mi_tokenizador_con_stemming,0.5,16,0.278,0.5,0.35732647814910024,0.556
hateval_es,128,xavier_initialization,vectorizar_countvectorizer,"(1, 2)",mi_tokenizador_con_stemming,0.5,64,0.278,0.5,0.35732647814910024,0.556
hateval_es,256,normal_initialization,vectorizar_countvectorizer,"(1, 1)",mi_tokenizador_con_stemming,0.5,16,0.7042692939244664,0.7015684749497699,0.7024973917579551,0.708
hateval_es,64,xavier_initialization,vectorizar_countvectorizer,"(1, 2)",None,0.1,16,0.7791929382093317,0.7690550262492708,0.7717092192455298,0.778
hateval_es,512,normal_initialization,vectorizar_tfidfvectorizer,"(2, 2)",mi_tokenizador_sin_stopwords,0.1,32,0.6972802331228751,0.664544040443321,0.6620909040036846,0.686
hateval_es,256,normal_initialization,vectorizar_tfidfvectorizer,"(2, 2)",mi_tokenizador_sin_stopwords,0.1,32,0.6678571428571429,0.6370795255687343,0.631964530040354,0.66
hateval_es,512,normal_initialization,vectorizar_tfidfvectorizer,"(1, 2)",None,0.5,32,0.278,0.5,0.35732647814910024,0.556
hateval_es,512,xavier_initialization,vectorizar_countvectorizer,"(1, 2)",mi_tokenizador_con_stemming,0.01,32,0.767070707070707,0.7677587659602048,0.7673863530630161,0.77
hateval_es,64,xavier_initialization,vectorizar_tfidfvectorizer,"(2, 2)",mi_tokenizador_con_stemming,0.1,32,0.7539013732833958,0.7109015490310454,0.7112616572718967,0.732
hateval_es,256,xavier_initialization,vectorizar_countvectorizer,"(2, 2)",None,0.01,64,0.7457708376138621,0.732581502365675,0.7350291467938527,0.744
hateval_es,512,xavier_initialization,vectorizar_countvectorizer,"(1, 2)",None,0.1,32,0.278,0.5,0.35732647814910024,0.556
hateval_es,512,xavier_initialization,vectorizar_countvectorizer,"(2, 2)",None,0.5,16,0.222,0.5,0.3074792243767313,0.444
hateval_es,512,normal_initialization,vectorizar_tfidfvectorizer,"(1, 1)",mi_tokenizador_sin_stopwords,0.01,64,0.6538395538395538,0.6452621686434636,0.6457441651370825,0.658
hateval_es,64,xavier_initialization,vectorizar_tfidfvectorizer,"(2, 2)",None,0.5,64,0.222,0.5,0.3074792243767313,0.444
hateval_es,512,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 2)",mi_tokenizador_con_stemming,0.01,32,0.278,0.5,0.35732647814910024,0.556
hateval_es,64,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 1)",None,0.1,16,0.7533411949685535,0.7506319268909197,0.7516731530181889,0.756
hateval_es,64,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 1)",None,0.1,32,0.7576354679802956,0.754229049193078,0.7554773082942097,0.76
hateval_es,256,normal_initialization,vectorizar_tfidfvectorizer,"(1, 1)",None,0.01,32,0.6759649474881263,0.6704906345194115,0.6715927750410509,0.68
hateval_es,1024,xavier_initialization,vectorizar_countvectorizer,"(2, 2)",mi_tokenizador_sin_stopwords,0.01,64,0.278,0.5,0.35732647814910024,0.556
hateval_es,512,normal_initialization,vectorizar_countvectorizer,"(1, 1)",mi_tokenizador_sin_stopwords,0.01,64,0.667331521843865,0.6406928511245058,0.6370882884740099,0.662
hateval_es,64,xavier_initialization,vectorizar_countvectorizer,"(1, 1)",None,0.01,32,0.7523925627373903,0.7465649102339751,0.7483375959079284,0.754
hateval_es,128,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 2)",mi_tokenizador_sin_stopwords,0.01,32,0.7702752508753413,0.7614070905437812,0.7638011986575692,0.77
hateval_es,512,normal_initialization,vectorizar_countvectorizer,"(1, 1)",mi_tokenizador_sin_stopwords,0.1,64,0.7042692939244664,0.7015684749497699,0.7024973917579551,0.708
hateval_es,1024,xavier_initialization,vectorizar_tfidfvectorizer,"(1, 1)",None,0.01,64,0.278,0.5,0.35732647814910024,0.556
hateval_es,128,normal_initialization,vectorizar_countvectorizer,"(1, 1)",mi_tokenizador_con_stemming,0.01,16,0.6777043200729511,0.6768261066822218,0.6771953759760272,0.682
hateval_es,128,xavier_initialization,vectorizar_countvectorizer,"(2, 2)",mi_tokenizador_con_stemming,0.01,32,0.752898185483871,0.6951195800116663,0.6923076923076923,0.72
